,Item Purchased,Gender,Frequency of Purchases,frequency
181,Jewelry,Male,Weekly,19
186,Pants,Female,Monthly,10
189,Pants,Male,Annually,14
190,Pants,Male,Bi-Weekly,11
191,Pants,Male,Every 3 Months,22
192,Pants,Male,Fortnightly,15
193,Pants,Male,Monthly,22
194,Pants,Male,Quarterly,19
195,Pants,Male,Weekly,20
197,Sandals,Female,Bi-Weekly,11
198,Sandals,Female,Every 3 Months,10
203,Sandals,Male,Annually,17
204,Sandals,Male,Bi-Weekly,10
205,Sandals,Male,Every 3 Months,17
206,Sandals,Male,Fortnightly,17
207,Sandals,Male,Monthly,14
208,Sandals,Male,Quarterly,12
209,Sandals,Male,Weekly,14
210,Scarf,Female,Annually,11
217,Scarf,Male,Annually,18
218,Scarf,Male,Bi-Weekly,15
219,Scarf,Male,Every 3 Months,16
220,Scarf,Male,Fortnightly,20
221,Scarf,Male,Monthly,17
222,Scarf,Male,Quarterly,13
223,Scarf,Male,Weekly,13
225,Shirt,Female,Bi-Weekly,12
228,Shirt,Female,Monthly,10
231,Shirt,Male,Annually,24
232,Shirt,Male,Bi-Weekly,11
233,Shirt,Male,Every 3 Months,12
234,Shirt,Male,Fortnightly,10
235,Shirt,Male,Monthly,18
236,Shirt,Male,Quarterly,15
237,Shirt,Male,Weekly,20
244,Shoes,Female,Weekly,12
245,Shoes,Male,Annually,20
246,Shoes,Male,Bi-Weekly,15
247,Shoes,Male,Every 3 Months,17
248,Shoes,Male,Fortnightly,15
249,Shoes,Male,Monthly,15
250,Shoes,Male,Quarterly,11
259,Shorts,Male,Annually,12
260,Shorts,Male,Bi-Weekly,19
261,Shorts,Male,Every 3 Months,19
262,Shorts,Male,Fortnightly,17
263,Shorts,Male,Monthly,14
264,Shorts,Male,Quarterly,12
265,Shorts,Male,Weekly,16
270,Skirt,Female,Monthly,10
273,Skirt,Male,Annually,16
274,Skirt,Male,Bi-Weekly,13
275,Skirt,Male,Every 3 Months,15
276,Skirt,Male,Fortnightly,17
277,Skirt,Male,Monthly,15
278,Skirt,Male,Quarterly,14
279,Skirt,Male,Weekly,19
287,Sneakers,Male,Annually,15
288,Sneakers,Male,Bi-Weekly,13
289,Sneakers,Male,Every 3 Months,15
290,Sneakers,Male,Fortnightly,20
291,Sneakers,Male,Monthly,17
293,Sneakers,Male,Weekly,14
294,Socks,Female,Annually,13
301,Socks,Male,Annually,16
302,Socks,Male,Bi-Weekly,16
303,Socks,Male,Every 3 Months,16
304,Socks,Male,Fortnightly,10
305,Socks,Male,Monthly,19
306,Socks,Male,Quarterly,18
313,Sunglasses,Female,Quarterly,12
315,Sunglasses,Male,Annually,13
316,Sunglasses,Male,Bi-Weekly,14
317,Sunglasses,Male,Every 3 Months,13
318,Sunglasses,Male,Fortnightly,15
320,Sunglasses,Male,Quarterly,24
321,Sunglasses,Male,Weekly,17
323,Sweater,Female,Bi-Weekly,13
329,Sweater,Male,Annually,17
330,Sweater,Male,Bi-Weekly,16
331,Sweater,Male,Every 3 Months,15
332,Sweater,Male,Fortnightly,21
333,Sweater,Male,Monthly,11
334,Sweater,Male,Quarterly,12
335,Sweater,Male,Weekly,22
336,T-shirt,Female,Annually,10
343,T-shirt,Male,Annually,10
344,T-shirt,Male,Bi-Weekly,15
345,T-shirt,Male,Every 3 Months,18
346,T-shirt,Male,Fortnightly,13
347,T-shirt,Male,Monthly,14
348,T-shirt,Male,Quarterly,18
349,T-shirt,Male,Weekly,13
