,Item Purchased,Gender,Season,count
98,Jewelry,Female,Summer,12
99,Jewelry,Female,Winter,18
100,Jewelry,Male,Fall,26
101,Jewelry,Male,Spring,29
102,Jewelry,Male,Summer,35
103,Jewelry,Male,Winter,29
104,Pants,Female,Fall,13
105,Pants,Female,Spring,7
106,Pants,Female,Summer,14
107,Pants,Female,Winter,14
108,Pants,Male,Fall,25
109,Pants,Male,Spring,25
110,Pants,Male,Summer,36
111,Pants,Male,Winter,37
112,Sandals,Female,Fall,17
113,Sandals,Female,Spring,23
114,Sandals,Female,Summer,10
115,Sandals,Female,Winter,9
116,Sandals,Male,Fall,27
117,Sandals,Male,Spring,21
118,Sandals,Male,Summer,30
119,Sandals,Male,Winter,23
120,Scarf,Female,Fall,12
121,Scarf,Female,Spring,9
122,Scarf,Female,Summer,16
123,Scarf,Female,Winter,8
124,Scarf,Male,Fall,28
125,Scarf,Male,Spring,32
126,Scarf,Male,Summer,27
127,Scarf,Male,Winter,25
128,Shirt,Female,Fall,15
129,Shirt,Female,Spring,11
130,Shirt,Female,Summer,12
131,Shirt,Female,Winter,21
132,Shirt,Male,Fall,24
133,Shirt,Male,Spring,31
134,Shirt,Male,Summer,26
135,Shirt,Male,Winter,29
136,Shoes,Female,Fall,7
137,Shoes,Female,Spring,14
138,Shoes,Female,Summer,11
139,Shoes,Female,Winter,16
140,Shoes,Male,Fall,19
141,Shoes,Male,Spring,26
142,Shoes,Male,Summer,35
143,Shoes,Male,Winter,22
144,Shorts,Female,Fall,13
145,Shorts,Female,Spring,14
146,Shorts,Female,Summer,10
147,Shorts,Female,Winter,11
148,Shorts,Male,Fall,22
149,Shorts,Male,Spring,33
150,Shorts,Male,Summer,30
151,Shorts,Male,Winter,24
152,Skirt,Female,Fall,14
153,Skirt,Female,Spring,17
154,Skirt,Female,Summer,8
155,Skirt,Female,Winter,10
156,Skirt,Male,Fall,32
157,Skirt,Male,Spring,29
158,Skirt,Male,Summer,20
159,Skirt,Male,Winter,28
160,Sneakers,Female,Fall,9
161,Sneakers,Female,Spring,12
162,Sneakers,Female,Summer,12
163,Sneakers,Female,Winter,9
164,Sneakers,Male,Fall,22
165,Sneakers,Male,Spring,27
166,Sneakers,Male,Summer,24
167,Sneakers,Male,Winter,30
168,Socks,Female,Fall,22
169,Socks,Female,Spring,9
170,Socks,Female,Summer,15
171,Socks,Female,Winter,12
172,Socks,Male,Fall,20
173,Socks,Male,Spring,31
174,Socks,Male,Summer,27
175,Socks,Male,Winter,23
176,Sunglasses,Female,Fall,16
177,Sunglasses,Female,Spring,10
178,Sunglasses,Female,Summer,11
179,Sunglasses,Female,Winter,19
180,Sunglasses,Male,Fall,23
181,Sunglasses,Male,Spring,23
182,Sunglasses,Male,Summer,26
183,Sunglasses,Male,Winter,33
184,Sweater,Female,Fall,11
185,Sweater,Female,Spring,19
186,Sweater,Female,Summer,7
187,Sweater,Female,Winter,13
188,Sweater,Male,Fall,31
189,Sweater,Male,Spring,33
190,Sweater,Male,Summer,21
191,Sweater,Male,Winter,29
192,T-shirt,Female,Fall,13
193,T-shirt,Female,Spring,10
194,T-shirt,Female,Summer,8
195,T-shirt,Female,Winter,15
196,T-shirt,Male,Fall,26
197,T-shirt,Male,Spring,28
198,T-shirt,Male,Summer,22
199,T-shirt,Male,Winter,25
